_id__$oid	duration	event_type	event_time	request_id		child_id	caregiver_id	metadata__duration
58f861d9ddd9ff0001a06ac3	None	sleep	1492686311	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	6
58f861d9ddd9ff0001a06ac4	None	sleep	1492702596	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	7
58f861d9ddd9ff0001a06ac5	None	sleep	1492709099	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	6
58f861d9ddd9ff0001a06ac6	None	sleep	1492715401	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	6
58f861daddd9ff0001a06ac7	None	sleep	1492719154	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	7
58f861daddd9ff0001a06ac8	None	sleep	1492730711	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	4
58f861dbddd9ff0001a06ac9	None	sleep	1492734741	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	7
58f861dbddd9ff0001a06aca	None	sleep	1492741508	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	3
58f861dbddd9ff0001a06acb	None	sleep	1492756356	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	7
58f861dcddd9ff0001a06acc	None	sleep	1492763975	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	4
58f861dcddd9ff0001a06acd	None	sleep	1492778838	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	7
58f861ddddd9ff0001a06ace	None	sleep	1492786727	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	4
58f861ddddd9ff0001a06acf	None	sleep	1492793598	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	7
58f861deddd9ff0001a06ad0	None	sleep	1492808341	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	3
58f861deddd9ff0001a06ad1	None	sleep	1492816322	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	6
58f861deddd9ff0001a06ad2	None	sleep	1492821258	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	3
58f861deddd9ff0001a06ad3	None	sleep	1492838676	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	7
58f861dfddd9ff0001a06ad4	None	sleep	1492849829	1234		58a40a921d90110001fd52ba	58a40a921d90110001fd52b9	3
